PM ID,Match class,Notes,Lookup Sentence,Top Yielded Sentence,score
315934,Very similar,,"in israel no death from c-19 !

he told them a super news ... this is how it arrived and this is how i send it.

the cure for the c19 virus or the way to eliminate it was achieved.
 information comes from israel there this virus did not cause any death

  * the recipe is simple *
 1. * lemon * 🍈
 2. * bicarbonate * 🥛
 mix and drink as hot tea 🍵 every afternoon, the action of the lemon with hotter baking soda ♨ immediately kills the virus 🦠 completely eliminates it from the body.  these","in israel no death from c-19 !

he told them a super news ... this is how it arrived and this is how i send it.

the cure for the c19 virus or the way to eliminate it was achieved.
 information comes from israel there this virus did not cause any death

  * the recipe is simple *
 1. * lemon * 🍈
 2. * bicarbonate * 🥛
 mix and drink as hot tea 🍵 every afternoon, the action of the lemon with hotter baking soda ♨ immediately kills the virus 🦠 completely eliminates it from the body.  these",210.5933500
316880,Very similar,,"an open letter to the prime minister of india / chief justice of india and chief ministers of all the states:

from the past few weeks, i have been reading and listening to various low level newspapers, tik-toks, facebook posts, etc. blaming the nris for the outbreak and spread of corona in india and i would like your kind attention to this alarming situation. i would request you to take necessary precautions under law of the land to stop the spread of these negative publications and posts and penalize the guilty as they are spreading this in the community like a","an open letter to the prime minister of india / chief justice of india and chief ministers of all the states:

from the past one week i am reading and listening to various low level newspapers, tik-tok, facebook posts etc. blaming the nri's for the outbreak and spread of corona in india and would like your kind attention to this grim situation. i would request you to take necessary measures under laws of the land to stop the spread of this hatred publications and posts and penalize such people and organizations as they are spreading this in the community like virus.",208.8191400
200078,Very similar,,"hi, i received the following message from a close relative, wanted to get it fact checked
lebanon is gone & lost (i'm genuinely sorry for it)

by seshan iyer

.
*why caa and nrc are the last chance for india's existence ~ please read carefully*

lebanon – a glaring example of what can go wrong

in the 1970’s, *lebanon was called 'paradise'* and its *capital beirut* was the 'paris of the east'.

the _lebanese christians are some of the oldest christians in the world, preceded only by the oriental orthodox of armenia and copts of egypt._

_lebanon was a progressive, tolerant and multi-cultural society, just like india","lebanon is gone & lost
 (i'm genuinely sorry for it),
let's keep india safe.
************************************************

*india, learn from lebanon !*
************************************

by seshan iyer

.

*why caa and nrc are the last chance for india's existence - hindus please read carefully*


lebanon –
a glaring example of what can go wrong..

in the 1970’s, lebanon was called 'paradise' and its capital beirut was the 'paris of the east'.
the lebanese christians are some of the oldest christians in the world, preceded only by the oriental orthodox of armenia and copts of egypt.
lebanon was a progressive, tolerant and multi-cultural society, just like india is today.
lebanon had some of",203.9766500
292901,Very similar,,"fyi......

a detailed thread to dismantle jim o’neill’s bigoted claim *“thank god this didn’t start in india”*. this will show how india has dealt with the treat of covid-19 with far greater tenacity and firmness than almost all countries.👇

1. firstly, despite sharing a border of 3,488 kilometres with china, india has only reported 80 cases and 1 death- compare that with 596 cases and 8 deaths in the uk.

2. india is the only country in the world to evacuate its citizens 6 times (and counting) and evacuated the most number of foreign nationals.

3. the indian air force evacuated a total","this is what india has done so far...
courtesy: dhrumi bhatt

1. firstly, despite sharing a border of 3,488 kilometres with china, india has only reported 78 cases and 1 death- compare that with 596 cases and 8 deaths in the uk.

2. india is the only country in the world to evacuate its citizens 6 times (and counting) and evacuated the most number of foreign nationals.

3. the indian air force evacuated a total of 723 indians, 37 foreign nationals from wuhan. india evacuated 119 indians and 5 foreign nationals from japan. iaf also evacuated 58 indian pilgrims from iran on the",188.5431800
142175,Very similar,,"another silent masterstroke by india - pm modi. just now, home ministry & external affairs have again sent note to all countries that, indian passport is  only valid document towards travel in airport, ship port etc but not to be considered or used as citizenship proof. this is simple old law. government also announced, with in 1 year citizenship card will be given to indians for proof. now action starts - most of gulf countries had released law that all workers must get cards. what it means ??? bangladesh / pak & other muslims who are largest labour in","👆 another silent masterstroke by india - pm modi. just now, home ministry & external affairs have again sent note to all countries that, indian passport is only valid document towards travel in airport, ship port etc but not to be considered or used as citizenship proof. this is simple old law. government also announced, with in 1 year citizenship card will be given to indians for proof. now action starts - most of gulf countries had released law that all workers must get cards. what it means ??? bangladesh / pak & other muslims who are largest labour in",188.4726900
333472,Very similar,,"guidelines / preventive measures for the anticipated deadly virus:

corona virus, very new deadly form of virus chinas suffering. may come to india any mont o avoid any form of cold drinks ice cream louli etc and all types of preserved foods milkshake rough ice ice cold milk sweets older then 48 hours for atleast 90 days from today

dr. chakravarthi details unknown.","korona virus, very new deadly form of virus, china is suffering,  may come to india immediately,  avoid any form of cold drinks, ice creams, koolfee, etc,  any type of preserved foods,  milkshake,  rough ice, ice colas, milk sweets older then 48 hours,  for atleast 90 days from today.",175.7137100
313480,Not similar,,"government issue new timings which need to follow by every citizen.

1. milk centres: 6:30 am to 9:30 am
7:00 pm to 9:00 pm
2. grocery stores: 9:00 am to 12:00 pm
3. flour mill: 9:00 am to 12:00 pm
4:00 pm to 6:00 pm
4. fruits & vegetables: 8:00 am to 10:00 am
4:00 pm to 6:00 pm
5. wholesale fruits and vegetables: 6:00 am to 8:00 pm
6. petrol pump: 8:00 am to 4:00 pm

#coronavirussafetysteps #covid19 #coronavirus #indaiagainstcorona
is above genuine ?","but protest has been started and is till 2:00 pm
so can u take some faster steps",171.8036300
310724,Somewhat similar,,"the corona virus travelled entire world from wuhan but it did not reached beijing and shanghai... can anybody put light?

forwarded as received...read it...

looks so logical....after all chinese stock market didn't crash....american and european markets did....

destroy other markets and be ready to capture them in every way



how to dominate the world quickly?

the great chinese stage

1. create a virus and the antidote.

2. spread the virus.

3. a demonstration of efficiency, building hospitals in a few days. after all, you were already prepared, with the projects, ordering the equipment, hiring the labor, the water and sewage network, the prefabricated building materials and stocked in","how to dominate the world quickly?

the great chinese stage

1. create a virus and the antidote.

2. spread the virus.

3. a demonstration of efficiency, building hospitals in a few days. after all, you were already prepared, with the projects, ordering the equipment, hiring the labor, the water and sewage network, the prefabricated building materials and stocked in an impressive volume.

4. cause chaos in the world, starting with europe.

5. quickly plaster the economy of dozens of countries.

6. stop production lines in factories in other countries.

7. cause stock markets to fall and buy companies at a bargain price.

8. quickly control the epidemic in your",169.6178000
340198,Very similar,,"info
mandate to everyone, tonight  12 ( midnight) onwards disaster management act has been implemented across the country. according to this update, apart from the govt department no other citizen is allowed to post any update or share any forward related to coronavirus and it being punishable offence.

group admins are requested to post the above update and inform the groups.
check this 👆👆👆👆👆👆","mandate to all. tonight  12 ( midnight) onwards disaster management act has been implemented across the country. according to this update, apart from the govt department no other citizen is allowed to post any update or share any forward related to coronavirus and it being punishable offence.

group admins are requested to post the above update and inform the groups.",167.6286600
361068,Very similar,,"#coronavirus was created in the lab by china, statement by the japanese nobel prize winner dr. tasaku honzo

 coronavirus is not natural.  japan's nobel laureate professor of medicine and professor, dr. tasuke honzo pakka, said that the virus was created by china and left to the world.

 ""if it is natural, it will not adversely affect the whole world because, according to nature, the temperature is different in different countries.

 but the virus is spreading in a country like switzerland, as well as in desert areas.

 i have been researching animals and viruses for the last 40 years. ","japan's nobel prize winning professor of medicine, professor dr tasuku honjo, created a sensation  today by saying that the coronavirus is not natural.
""if it is natural, it wouldn't have adversely affected the entire world like this. because, as per nature, temperature is different in different countries. if it is natural, it would adversely affect only those countries having the same temperature as china. instead, it is spreading in a country like switzerland, in the same way it is spreading in the desert areas. whereas if it were natural, it would have spread in cold places, but died in hot",163.7883000
